id,programId,text
0,1,"Why do you want to participate in this study abroad program?"
1,1,"How does this program align with your academic or career goals?"
2,1,"What challenges do you anticipate during this experience, and how will you address them?"
3,1,"Describe a time you adapted to a new or unfamiliar environment."
4,1,"What unique perspective or contribution will you bring to the group?"
0,2,"Why do you want to participate in this study abroad program?"
1,2,"How does this program align with your academic or career goals?"
2,2,"What challenges do you anticipate during this experience, and how will you address them?"
3,2,"Describe a time you adapted to a new or unfamiliar environment."
4,2,"What unique perspective or contribution will you bring to the group?"
0,3,"Why do you want to participate in this study abroad program?"
1,3,"How does this program align with your academic or career goals?"
2,3,"What challenges do you anticipate during this experience, and how will you address them?"
3,3,"Describe a time you adapted to a new or unfamiliar environment."
4,3,"What unique perspective or contribution will you bring to the group?"
0,4,"Why do you want to participate in this study abroad program?"
1,4,"How does this program align with your academic or career goals?"
2,4,"What challenges do you anticipate during this experience, and how will you address them?"
3,4,"Describe a time you adapted to a new or unfamiliar environment."
4,4,"What unique perspective or contribution will you bring to the group?"
0,5,"Why do you want to participate in this study abroad program?"
1,5,"How does this program align with your academic or career goals?"
2,5,"What challenges do you anticipate during this experience, and how will you address them?"
3,5,"Describe a time you adapted to a new or unfamiliar environment."
4,5,"What unique perspective or contribution will you bring to the group?"
0,6,"Why do you want to participate in this study abroad program?"
1,6,"How does this program align with your academic or career goals?"
2,6,"What challenges do you anticipate during this experience, and how will you address them?"
3,6,"Describe a time you adapted to a new or unfamiliar environment."
4,6,"What unique perspective or contribution will you bring to the group?"
0,7,"What's your opinion of this program?"
1,7,"Have you ever did familiar project related to this program?"
0,8,"Why do you want to participate in this study abroad program?"
1,8,"How does this program align with your academic or career goals?"
2,8,"What challenges do you anticipate during this experience, and how will you address them?"
3,8,"Describe a time you adapted to a new or unfamiliar environment."
4,8,"What unique perspective or contribution will you bring to the group?"
0,9,"Why do you want to participate in this study abroad program?"
1,9,"How does this program align with your academic or career goals?"
2,9,"What challenges do you anticipate during this experience, and how will you address them?"
3,9,"Describe a time you adapted to a new or unfamiliar environment."
4,9,"What unique perspective or contribution will you bring to the group?"
0,10,"Why do you want to participate in this study abroad program?"
1,10,"How does this program align with your academic or career goals?"
2,10,"What challenges do you anticipate during this experience, and how will you address them?"
3,10,"Describe a time you adapted to a new or unfamiliar environment."
4,10,"What unique perspective or contribution will you bring to the group?"
0,11,"Why do you want to participate in this study abroad program?"
1,11,"How does this program align with your academic or career goals?"
2,11,"What challenges do you anticipate during this experience, and how will you address them?"
3,11,"Describe a time you adapted to a new or unfamiliar environment."
4,11,"What unique perspective or contribution will you bring to the group?"